退款单号,订单编号,申请时间,商品编码,商品名称,品类,refund_type,退款原因,退款金额,退款状态
RF20250716002112,京20250716183623,2025-07-16 18:18:00,SKU_服_002,服装商品14,服装,退货退款,质量问题,208.57,已完成
RF20250716002113,京20250716650899,2025-07-16 12:34:00,SKU_服_008,服装商品11,服装,仅退款,质量问题,139.34,已完成
RF20250716002114,京20250716011862,2025-07-16 19:11:00,SKU_服_003,服装商品7,服装,仅退款,物流太慢,262.26,处理中
RF20250717002219,京20250717611475,2025-07-17 15:20:00,SKU_美_006,美妆商品9,美妆,仅退款,尺码不合适,111.84,已完成
RF20250717002220,京20250717522590,2025-07-17 16:54:00,SKU_美_009,美妆商品17,美妆,仅退款,物流太慢,159.96,已完成
RF20250717002221,京20250717327784,2025-07-17 14:28:00,SKU_美_002,美妆商品5,美妆,退货退款,尺码不合适,128.9,已拒绝
RF20250717002222,京20250717546926,2025-07-17 08:01:00,SKU_美_008,美妆商品9,美妆,仅退款,物流太慢,157.32,已完成
RF20250717002223,京20250717899402,2025-07-17 15:34:00,SKU_食_004,食品商品16,食品,仅退款,质量问题,43.7,已完成
RF20250717002224,京20250717023733,2025-07-17 19:35:00,SKU_食_003,食品商品12,食品,退货退款,质量问题,43.09,已完成
RF20250717002225,京20250717402597,2025-07-17 08:22:00,SKU_食_005,食品商品16,食品,退货退款,不想要了,50.38,已完成
RF20250717002226,京20250717108396,2025-07-17 19:54:00,SKU_食_007,食品商品3,食品,退货退款,与描述不符,45.87,已完成
RF20250717002227,京20250717993563,2025-07-17 09:38:00,SKU_食_004,食品商品16,食品,退货退款,与描述不符,59.1,已完成
RF20250717002228,京20250717643988,2025-07-17 19:51:00,SKU_食_004,食品商品1,食品,仅退款,不想要了,67.55,已完成
RF20250717002229,京20250717816336,2025-07-17 20:02:00,SKU_食_001,食品商品9,食品,退货退款,物流太慢,52.53,已完成
RF20250717002230,京20250717641510,2025-07-17 09:14:00,SKU_食_003,食品商品8,食品,仅退款,不想要了,61.33,已完成
RF20250717002231,京20250717666549,2025-07-17 11:42:00,SKU_食_008,食品商品2,食品,退货退款,物流太慢,56.27,已完成
RF20250717002232,京20250717704903,2025-07-17 19:33:00,SKU_电_007,电子商品17,电子,仅退款,不想要了,371.71,已拒绝
RF20250717002233,京20250717644251,2025-07-17 18:23:00,SKU_电_001,电子商品6,电子,退货退款,物流太慢,528.55,已完成
RF20250717002234,京20250717316789,2025-07-17 14:10:00,SKU_电_009,电子商品14,电子,退货退款,不想要了,489.3,已拒绝
RF20250717002235,京20250717310072,2025-07-17 09:39:00,SKU_电_009,电子商品4,电子,退货退款,尺码不合适,498.67,处理中
RF20250717002236,京20250717569379,2025-07-17 18:18:00,SKU_电_003,电子商品4,电子,退货退款,物流太慢,544.58,处理中
RF20250717002237,京20250717098253,2025-07-17 10:02:00,SKU_电_008,电子商品3,电子,仅退款,物流太慢,469.85,已完成
RF20250717002238,京20250717921390,2025-07-17 10:58:00,SKU_电_001,电子商品13,电子,退货退款,物流太慢,475.42,已完成
RF20250717002239,京20250717228891,2025-07-17 15:40:00,SKU_电_001,电子商品18,电子,仅退款,物流太慢,408.36,已完成
RF20250717002240,京20250717423827,2025-07-17 17:47:00,SKU_电_008,电子商品12,电子,退货退款,与描述不符,409.51,处理中
RF20250717002241,京20250717222437,2025-07-17 12:46:00,SKU_电_007,电子商品5,电子,退货退款,与描述不符,526.72,已完成
RF20250717002242,京20250717884709,2025-07-17 11:13:00,SKU_电_001,电子商品14,电子,退货退款,质量问题,565.07,已完成
RF20250717002243,京20250717026289,2025-07-17 19:52:00,SKU_电_009,电子商品16,电子,退货退款,与描述不符,350.99,已完成
RF20250717002244,京20250717020783,2025-07-17 21:41:00,SKU_服_006,服装商品8,服装,退货退款,尺码不合适,169.26,处理中
RF20250717002245,京20250717421129,2025-07-17 18:19:00,SKU_服_003,服装商品3,服装,退货退款,与描述不符,184.94,已拒绝
RF20250717002246,京20250717375338,2025-07-17 14:22:00,SKU_服_002,服装商品5,服装,退货退款,质量问题,228.93,已完成
RF20250717002247,京20250717381761,2025-07-17 08:30:00,SKU_服_005,服装商品8,服装,仅退款,质量问题,131.35,处理中
RF20250718002340,京20250718084807,2025-07-18 16:42:00,SKU_美_008,美妆商品10,美妆,仅退款,与描述不符,137.59,已完成
RF20250718002341,京20250718784118,2025-07-18 11:55:00,SKU_美_007,美妆商品10,美妆,退货退款,不想要了,126.21,处理中
RF20250718002342,京20250718203497,2025-07-18 11:09:00,SKU_美_001,美妆商品19,美妆,退货退款,物流太慢,113.73,处理中
RF20250718002343,京20250718411485,2025-07-18 19:50:00,SKU_美_008,美妆商品6,美妆,退货退款,不想要了,191.36,已完成
RF20250718002344,京20250718273011,2025-07-18 20:34:00,SKU_美_003,美妆商品1,美妆,退货退款,质量问题,149.87,处理中
RF20250718002345,京20250718287459,2025-07-18 17:18:00,SKU_美_002,美妆商品15,美妆,仅退款,尺码不合适,122.09,处理中
RF20250718002346,京20250718825391,2025-07-18 21:27:00,SKU_美_002,美妆商品17,美妆,仅退款,物流太慢,145.85,已拒绝
RF20250718002347,京20250718220735,2025-07-18 09:57:00,SKU_食_005,食品商品6,食品,仅退款,质量问题,60.9,已完成
RF20250718002348,京20250718075535,2025-07-18 11:33:00,SKU_食_009,食品商品4,食品,仅退款,物流太慢,55.32,已完成
RF20250718002349,京20250718464535,2025-07-18 20:33:00,SKU_食_008,食品商品12,食品,仅退款,尺码不合适,49.87,已完成
RF20250718002350,京20250718880095,2025-07-18 09:33:00,SKU_食_007,食品商品17,食品,仅退款,尺码不合适,51.48,已完成
RF20250718002351,京20250718794271,2025-07-18 19:17:00,SKU_食_005,食品商品17,食品,退货退款,质量问题,41.68,处理中
RF20250718002352,京20250718591235,2025-07-18 08:46:00,SKU_食_009,食品商品18,食品,仅退款,与描述不符,49.07,已完成
RF20250718002353,京20250718571304,2025-07-18 14:30:00,SKU_食_007,食品商品5,食品,退货退款,与描述不符,62.88,已完成
RF20250718002354,京20250718705583,2025-07-18 13:02:00,SKU_食_006,食品商品1,食品,仅退款,质量问题,54.81,处理中
RF20250718002355,京20250718136096,2025-07-18 10:29:00,SKU_电_007,电子商品14,电子,退货退款,物流太慢,331.0,已拒绝
RF20250718002356,京20250718435056,2025-07-18 09:54:00,SKU_电_008,电子商品1,电子,仅退款,物流太慢,456.06,已完成
RF20250718002357,京20250718776028,2025-07-18 21:38:00,SKU_电_008,电子商品10,电子,仅退款,与描述不符,387.41,处理中
RF20250718002358,京20250718313726,2025-07-18 10:32:00,SKU_电_005,电子商品19,电子,退货退款,与描述不符,457.55,已完成
RF20250718002359,京20250718967543,2025-07-18 10:12:00,SKU_电_008,电子商品19,电子,退货退款,尺码不合适,553.39,已完成
RF20250718002360,京20250718789624,2025-07-18 08:39:00,SKU_电_009,电子商品11,电子,退货退款,与描述不符,601.52,已完成
RF20250718002361,京20250718156924,2025-07-18 18:03:00,SKU_电_005,电子商品6,电子,仅退款,物流太慢,459.22,已完成
RF20250718002362,京20250718165991,2025-07-18 18:38:00,SKU_电_005,电子商品4,电子,退货退款,与描述不符,480.91,处理中
RF20250718002363,京20250718716832,2025-07-18 10:10:00,SKU_电_006,电子商品3,电子,仅退款,与描述不符,453.2,已拒绝
RF20250718002364,京20250718387742,2025-07-18 10:06:00,SKU_电_004,电子商品2,电子,退货退款,物流太慢,346.65,已完成
RF20250718002365,京20250718693817,2025-07-18 16:08:00,SKU_电_003,电子商品7,电子,仅退款,不想要了,355.64,处理中
RF20250718002366,京20250718971099,2025-07-18 21:22:00,SKU_电_004,电子商品7,电子,仅退款,不想要了,356.12,已完成
RF20250718002367,京20250718570611,2025-07-18 17:23:00,SKU_电_003,电子商品18,电子,仅退款,不想要了,457.77,已完成
RF20250718002368,京20250718090971,2025-07-18 13:03:00,SKU_电_007,电子商品6,电子,退货退款,质量问题,558.41,已完成
RF20250718002369,京20250718188294,2025-07-18 15:45:00,SKU_服_002,服装商品12,服装,退货退款,质量问题,145.39,已完成
RF20250718002370,京20250718969903,2025-07-18 17:42:00,SKU_服_007,服装商品5,服装,退货退款,尺码不合适,176.6,处理中
RF20250718002371,京20250718306040,2025-07-18 14:05:00,SKU_服_003,服装商品6,服装,退货退款,与描述不符,230.7,已完成
RF20250718002372,京20250718299531,2025-07-18 15:22:00,SKU_服_009,服装商品4,服装,退货退款,质量问题,174.34,已完成
RF20250719002482,京20250719462212,2025-07-19 09:56:00,SKU_美_007,美妆商品7,美妆,仅退款,不想要了,144.28,已完成
RF20250719002483,京20250719656841,2025-07-19 17:15:00,SKU_美_009,美妆商品6,美妆,仅退款,与描述不符,106.12,处理中
RF20250719002484,京20250719718916,2025-07-19 09:47:00,SKU_美_004,美妆商品17,美妆,退货退款,不想要了,150.58,已完成
RF20250719002485,京20250719472199,2025-07-19 18:13:00,SKU_美_003,美妆商品14,美妆,仅退款,尺码不合适,165.9,处理中
RF20250719002486,京20250719638336,2025-07-19 17:17:00,SKU_美_004,美妆商品6,美妆,退货退款,尺码不合适,128.6,已完成
RF20250719002487,京20250719138693,2025-07-19 17:43:00,SKU_美_009,美妆商品16,美妆,仅退款,物流太慢,147.3,处理中
RF20250719002488,京20250719188358,2025-07-19 08:42:00,SKU_美_006,美妆商品5,美妆,仅退款,物流太慢,104.29,已拒绝
RF20250719002489,京20250719025177,2025-07-19 09:52:00,SKU_美_007,美妆商品14,美妆,仅退款,不想要了,162.82,已完成
RF20250719002490,京20250719777037,2025-07-19 18:21:00,SKU_食_005,食品商品15,食品,退货退款,与描述不符,62.45,处理中
RF20250719002491,京20250719577620,2025-07-19 21:53:00,SKU_食_001,食品商品2,食品,退货退款,物流太慢,52.75,已完成
RF20250719002492,京20250719357982,2025-07-19 13:06:00,SKU_食_007,食品商品19,食品,仅退款,尺码不合适,48.97,处理中
RF20250719002493,京20250719774680,2025-07-19 13:06:00,SKU_食_005,食品商品11,食品,仅退款,不想要了,51.33,已完成
RF20250719002494,京20250719068443,2025-07-19 19:35:00,SKU_食_008,食品商品1,食品,仅退款,尺码不合适,52.68,已完成
RF20250719002495,京20250719370628,2025-07-19 10:34:00,SKU_食_009,食品商品7,食品,退货退款,质量问题,43.13,已完成
RF20250719002496,京20250719608469,2025-07-19 15:24:00,SKU_食_005,食品商品6,食品,仅退款,物流太慢,49.54,已完成
RF20250719002497,京20250719430899,2025-07-19 12:35:00,SKU_食_007,食品商品9,食品,仅退款,尺码不合适,63.35,已拒绝
RF20250719002498,京20250719553601,2025-07-19 21:13:00,SKU_食_009,食品商品13,食品,退货退款,与描述不符,51.0,已完成
RF20250719002499,京20250719985516,2025-07-19 20:23:00,SKU_食_005,食品商品2,食品,退货退款,质量问题,47.46,处理中
RF20250719002500,京20250719360357,2025-07-19 15:51:00,SKU_食_003,食品商品9,食品,仅退款,质量问题,63.58,已完成
RF20250719002501,京20250719402343,2025-07-19 10:29:00,SKU_食_003,食品商品2,食品,退货退款,质量问题,59.1,已完成
RF20250719002502,京20250719590519,2025-07-19 12:07:00,SKU_电_009,电子商品7,电子,仅退款,质量问题,384.65,已完成
RF20250719002503,京20250719015400,2025-07-19 20:21:00,SKU_电_007,电子商品1,电子,退货退款,尺码不合适,442.56,已完成
RF20250719002504,京20250719260823,2025-07-19 12:19:00,SKU_电_005,电子商品14,电子,退货退款,尺码不合适,374.75,已完成
RF20250719002505,京20250719200705,2025-07-19 20:55:00,SKU_电_004,电子商品10,电子,仅退款,质量问题,468.27,已完成
RF20250719002506,京20250719292594,2025-07-19 20:50:00,SKU_电_002,电子商品7,电子,仅退款,物流太慢,343.23,已完成
RF20250719002507,京20250719385545,2025-07-19 17:05:00,SKU_电_002,电子商品11,电子,退货退款,不想要了,445.21,处理中
RF20250719002508,京20250719184924,2025-07-19 17:30:00,SKU_电_005,电子商品16,电子,退货退款,质量问题,340.18,已完成
RF20250719002509,京20250719501717,2025-07-19 11:49:00,SKU_电_004,电子商品5,电子,仅退款,物流太慢,377.69,已完成
RF20250719002510,京20250719778120,2025-07-19 15:38:00,SKU_电_009,电子商品17,电子,仅退款,与描述不符,336.83,已完成
RF20250719002511,京20250719584447,2025-07-19 15:22:00,SKU_电_002,电子商品19,电子,退货退款,尺码不合适,341.92,已完成
RF20250719002512,京20250719578033,2025-07-19 16:52:00,SKU_电_007,电子商品14,电子,退货退款,物流太慢,525.58,处理中
RF20250719002513,京20250719751987,2025-07-19 16:12:00,SKU_电_006,电子商品8,电子,退货退款,质量问题,413.14,已完成
RF20250719002514,京20250719339841,2025-07-19 16:54:00,SKU_服_007,服装商品15,服装,退货退款,不想要了,173.31,处理中
RF20250719002515,京20250719414138,2025-07-19 20:12:00,SKU_服_005,服装商品17,服装,仅退款,尺码不合适,168.86,已完成
RF20250719002516,京20250719222520,2025-07-19 12:35:00,SKU_服_003,服装商品5,服装,退货退款,尺码不合适,168.46,处理中
RF20250719002517,京20250719289615,2025-07-19 18:33:00,SKU_服_002,服装商品10,服装,仅退款,质量问题,123.01,处理中
RF20250719002518,京20250719967579,2025-07-19 15:44:00,SKU_服_004,服装商品19,服装,退货退款,与描述不符,198.21,处理中
RF20250719002519,京20250719706372,2025-07-19 09:08:00,SKU_服_006,服装商品17,服装,仅退款,不想要了,214.92,已完成
RF20250720002620,京20250720846785,2025-07-20 19:55:00,SKU_美_009,美妆商品18,美妆,仅退款,尺码不合适,113.71,已完成
RF20250720002621,京20250720166153,2025-07-20 18:51:00,SKU_美_007,美妆商品11,美妆,仅退款,不想要了,162.48,处理中
RF20250720002622,京20250720910666,2025-07-20 13:19:00,SKU_美_003,美妆商品15,美妆,仅退款,尺码不合适,116.08,已完成
RF20250720002623,京20250720564519,2025-07-20 17:07:00,SKU_美_004,美妆商品8,美妆,仅退款,尺码不合适,143.63,已完成
RF20250720002624,京20250720378525,2025-07-20 13:41:00,SKU_美_006,美妆商品9,美妆,仅退款,与描述不符,159.92,已完成
RF20250720002625,京20250720690925,2025-07-20 15:09:00,SKU_美_003,美妆商品1,美妆,仅退款,尺码不合适,134.2,已完成
RF20250720002626,京20250720472759,2025-07-20 17:43:00,SKU_美_007,美妆商品13,美妆,退货退款,物流太慢,102.61,已完成
RF20250720002627,京20250720781626,2025-07-20 14:58:00,SKU_美_004,美妆商品8,美妆,退货退款,尺码不合适,152.49,已完成
RF20250720002628,京20250720146483,2025-07-20 16:29:00,SKU_食_003,食品商品9,食品,退货退款,质量问题,60.43,已完成
RF20250720002629,京20250720995499,2025-07-20 11:55:00,SKU_食_001,食品商品14,食品,仅退款,与描述不符,43.39,已完成
RF20250720002630,京20250720168679,2025-07-20 19:11:00,SKU_食_007,食品商品15,食品,退货退款,与描述不符,57.31,已完成
RF20250720002631,京20250720498810,2025-07-20 12:26:00,SKU_食_007,食品商品1,食品,退货退款,与描述不符,45.1,已完成
RF20250720002632,京20250720187045,2025-07-20 13:47:00,SKU_食_004,食品商品1,食品,退货退款,质量问题,38.48,处理中
RF20250720002633,京20250720476028,2025-07-20 14:49:00,SKU_食_005,食品商品12,食品,仅退款,质量问题,49.07,已完成
RF20250720002634,京20250720945124,2025-07-20 12:06:00,SKU_食_006,食品商品4,食品,仅退款,与描述不符,47.2,处理中
RF20250720002635,京20250720717534,2025-07-20 08:30:00,SKU_食_001,食品商品10,食品,仅退款,与描述不符,54.98,已完成
RF20250720002636,京20250720651102,2025-07-20 18:54:00,SKU_食_008,食品商品9,食品,退货退款,不想要了,61.68,已完成
RF20250720002637,京20250720108720,2025-07-20 17:42:00,SKU_食_005,食品商品6,食品,退货退款,与描述不符,58.3,已拒绝
RF20250720002638,京20250720088321,2025-07-20 14:13:00,SKU_食_009,食品商品15,食品,仅退款,与描述不符,51.61,已完成
RF20250720002639,京20250720247963,2025-07-20 20:49:00,SKU_食_003,食品商品12,食品,退货退款,尺码不合适,43.32,已完成
RF20250720002640,京20250720089281,2025-07-20 19:09:00,SKU_食_005,食品商品15,食品,退货退款,不想要了,61.41,已完成
RF20250720002641,京20250720253466,2025-07-20 17:56:00,SKU_食_009,食品商品3,食品,仅退款,不想要了,47.24,已完成
RF20250720002642,京20250720754316,2025-07-20 08:33:00,SKU_电_008,电子商品4,电子,退货退款,物流太慢,447.58,处理中
RF20250720002643,京20250720302559,2025-07-20 15:17:00,SKU_电_004,电子商品4,电子,仅退款,物流太慢,441.76,已完成
RF20250720002644,京20250720698388,2025-07-20 19:15:00,SKU_电_006,电子商品17,电子,仅退款,质量问题,380.25,已完成
RF20250720002645,京20250720164853,2025-07-20 18:46:00,SKU_电_003,电子商品13,电子,仅退款,不想要了,440.37,已完成
RF20250720002646,京20250720247654,2025-07-20 19:18:00,SKU_电_003,电子商品7,电子,仅退款,不想要了,408.57,已完成
RF20250720002647,京20250720712116,2025-07-20 12:58:00,SKU_电_002,电子商品2,电子,仅退款,与描述不符,423.37,处理中
RF20250720002648,京20250720663185,2025-07-20 16:01:00,SKU_电_009,电子商品11,电子,退货退款,不想要了,544.4,已完成
RF20250720002649,京20250720730156,2025-07-20 19:17:00,SKU_电_009,电子商品5,电子,仅退款,物流太慢,488.23,已完成
RF20250720002650,京20250720705944,2025-07-20 18:32:00,SKU_电_007,电子商品7,电子,退货退款,物流太慢,311.92,已完成
RF20250720002651,京20250720567242,2025-07-20 11:52:00,SKU_电_006,电子商品7,电子,退货退款,质量问题,369.09,处理中
RF20250720002652,京20250720854901,2025-07-20 18:24:00,SKU_电_002,电子商品5,电子,退货退款,与描述不符,466.36,已完成
RF20250720002653,京20250720196308,2025-07-20 08:10:00,SKU_电_001,电子商品9,电子,退货退款,物流太慢,444.49,已拒绝
RF20250720002654,京20250720618605,2025-07-20 08:11:00,SKU_电_001,电子商品19,电子,退货退款,与描述不符,479.79,处理中
RF20250720002655,京20250720975738,2025-07-20 15:16:00,SKU_电_003,电子商品13,电子,仅退款,与描述不符,373.4,已完成
RF20250720002656,京20250720101929,2025-07-20 12:27:00,SKU_电_007,电子商品12,电子,仅退款,物流太慢,365.68,已完成
RF20250720002657,京20250720639881,2025-07-20 11:34:00,SKU_电_006,电子商品11,电子,仅退款,物流太慢,515.3,已完成
RF20250720002658,京20250720261965,2025-07-20 12:37:00,SKU_服_006,服装商品6,服装,退货退款,与描述不符,164.18,已完成
RF20250720002659,京20250720764910,2025-07-20 13:00:00,SKU_服_005,服装商品1,服装,退货退款,质量问题,119.45,处理中
RF20250720002660,京20250720758526,2025-07-20 21:51:00,SKU_服_007,服装商品10,服装,退货退款,物流太慢,178.98,已完成
RF20250720002661,京20250720836913,2025-07-20 09:11:00,SKU_服_008,服装商品19,服装,退货退款,尺码不合适,213.27,已完成
RF20250721002761,京20250721349319,2025-07-21 16:32:00,SKU_美_004,美妆商品19,美妆,退货退款,尺码不合适,177.11,已完成
RF20250721002762,京20250721013063,2025-07-21 09:00:00,SKU_美_003,美妆商品5,美妆,退货退款,物流太慢,121.69,已完成
RF20250721002763,京20250721621320,2025-07-21 21:24:00,SKU_美_002,美妆商品2,美妆,仅退款,与描述不符,131.65,已完成
RF20250721002764,京20250721694450,2025-07-21 17:29:00,SKU_美_004,美妆商品14,美妆,仅退款,与描述不符,136.68,已完成
RF20250721002765,京20250721320388,2025-07-21 11:07:00,SKU_美_005,美妆商品17,美妆,仅退款,物流太慢,144.29,已完成
RF20250721002766,京20250721674370,2025-07-21 17:14:00,SKU_美_007,美妆商品17,美妆,退货退款,物流太慢,149.09,处理中
RF20250721002767,京20250721447982,2025-07-21 09:10:00,SKU_食_007,食品商品6,食品,仅退款,质量问题,56.34,已拒绝
RF20250721002768,京20250721911321,2025-07-21 14:28:00,SKU_食_007,食品商品14,食品,退货退款,质量问题,52.76,已完成
RF20250721002769,京20250721367754,2025-07-21 17:47:00,SKU_食_007,食品商品14,食品,仅退款,质量问题,67.24,已完成
RF20250721002770,京20250721289876,2025-07-21 09:46:00,SKU_食_006,食品商品14,食品,退货退款,不想要了,43.46,已完成
RF20250721002771,京20250721999473,2025-07-21 21:50:00,SKU_食_001,食品商品4,食品,退货退款,尺码不合适,52.32,已完成
RF20250721002772,京20250721248890,2025-07-21 16:53:00,SKU_食_004,食品商品3,食品,退货退款,与描述不符,37.03,已完成
RF20250721002773,京20250721277421,2025-07-21 11:24:00,SKU_食_002,食品商品15,食品,仅退款,与描述不符,34.45,处理中
RF20250721002774,京20250721500812,2025-07-21 16:51:00,SKU_食_004,食品商品14,食品,退货退款,物流太慢,40.01,已拒绝
RF20250721002775,京20250721473248,2025-07-21 16:29:00,SKU_食_005,食品商品17,食品,仅退款,与描述不符,53.28,已完成
RF20250721002776,京20250721517993,2025-07-21 19:55:00,SKU_食_003,食品商品10,食品,退货退款,物流太慢,51.36,已完成
RF20250721002777,京20250721529719,2025-07-21 20:25:00,SKU_食_009,食品商品8,食品,仅退款,不想要了,57.11,已完成
RF20250721002778,京20250721962524,2025-07-21 19:58:00,SKU_电_004,电子商品17,电子,退货退款,质量问题,331.55,已完成
RF20250721002779,京20250721482840,2025-07-21 17:55:00,SKU_电_004,电子商品8,电子,退货退款,物流太慢,247.82,已完成
RF20250721002780,京20250721356435,2025-07-21 20:20:00,SKU_电_005,电子商品19,电子,仅退款,不想要了,316.91,已完成
RF20250721002781,京20250721738606,2025-07-21 19:22:00,SKU_电_009,电子商品13,电子,退货退款,物流太慢,338.79,已完成
RF20250721002782,京20250721991836,2025-07-21 16:03:00,SKU_电_007,电子商品15,电子,仅退款,不想要了,301.46,已完成
RF20250721002783,京20250721151821,2025-07-21 16:42:00,SKU_电_007,电子商品17,电子,仅退款,尺码不合适,410.39,已完成
RF20250721002784,京20250721222616,2025-07-21 20:49:00,SKU_电_001,电子商品4,电子,退货退款,不想要了,345.78,已完成
RF20250721002785,京20250721556315,2025-07-21 08:34:00,SKU_电_004,电子商品7,电子,退货退款,质量问题,397.92,处理中
RF20250721002786,京20250721647430,2025-07-21 20:50:00,SKU_电_004,电子商品4,电子,退货退款,不想要了,429.95,已完成
RF20250721002787,京20250721127489,2025-07-21 19:29:00,SKU_电_001,电子商品9,电子,仅退款,尺码不合适,301.88,已完成
RF20250721002788,京20250721444025,2025-07-21 09:03:00,SKU_电_005,电子商品3,电子,仅退款,物流太慢,387.86,处理中
RF20250721002789,京20250721078248,2025-07-21 20:15:00,SKU_电_003,电子商品12,电子,仅退款,与描述不符,459.25,处理中
RF20250721002790,京20250721787333,2025-07-21 10:06:00,SKU_电_006,电子商品19,电子,退货退款,不想要了,381.5,已完成
RF20250721002791,京20250721387296,2025-07-21 19:57:00,SKU_电_009,电子商品18,电子,退货退款,质量问题,369.09,已完成
RF20250721002792,京20250721299394,2025-07-21 21:50:00,SKU_电_006,电子商品7,电子,退货退款,质量问题,415.52,已完成
RF20250721002793,京20250721409874,2025-07-21 14:57:00,SKU_服_005,服装商品3,服装,退货退款,尺码不合适,211.99,已完成
RF20250721002794,京20250721181024,2025-07-21 10:54:00,SKU_服_007,服装商品14,服装,仅退款,不想要了,180.58,已完成
RF20250721002795,京20250721443207,2025-07-21 14:42:00,SKU_服_008,服装商品7,服装,退货退款,不想要了,235.94,处理中
RF20250721002796,京20250721371143,2025-07-21 10:02:00,SKU_服_009,服装商品7,服装,退货退款,尺码不合适,196.22,已完成
RF20250721002797,京20250721333597,2025-07-21 19:14:00,SKU_服_004,服装商品19,服装,仅退款,质量问题,193.51,已拒绝
RF20250721002798,京20250721913994,2025-07-21 09:15:00,SKU_服_007,服装商品13,服装,仅退款,与描述不符,246.24,处理中
RF20250722002900,京20250722858291,2025-07-22 16:56:00,SKU_美_006,美妆商品4,美妆,退货退款,不想要了,159.44,已完成
RF20250722002901,京20250722529883,2025-07-22 08:45:00,SKU_美_004,美妆商品19,美妆,退货退款,物流太慢,124.88,已完成
RF20250722002902,京20250722257776,2025-07-22 21:35:00,SKU_美_009,美妆商品3,美妆,仅退款,质量问题,122.64,处理中
RF20250722002903,京20250722461104,2025-07-22 13:20:00,SKU_美_001,美妆商品1,美妆,仅退款,物流太慢,151.9,已完成
RF20250722002904,京20250722954459,2025-07-22 21:16:00,SKU_美_003,美妆商品11,美妆,退货退款,不想要了,142.97,已拒绝
RF20250722002905,京20250722693512,2025-07-22 20:29:00,SKU_美_009,美妆商品7,美妆,仅退款,不想要了,135.93,处理中
RF20250722002906,京20250722447887,2025-07-22 18:01:00,SKU_美_005,美妆商品10,美妆,仅退款,不想要了,116.72,已完成
RF20250722002907,京20250722979832,2025-07-22 19:34:00,SKU_食_006,食品商品19,食品,仅退款,质量问题,60.35,已完成
RF20250722002908,京20250722841444,2025-07-22 15:06:00,SKU_食_005,食品商品16,食品,退货退款,尺码不合适,64.15,已完成
RF20250722002909,京20250722697636,2025-07-22 12:02:00,SKU_食_008,食品商品19,食品,仅退款,不想要了,42.56,已完成
RF20250722002910,京20250722121932,2025-07-22 10:22:00,SKU_食_006,食品商品12,食品,退货退款,物流太慢,47.48,已完成
RF20250722002911,京20250722221027,2025-07-22 13:51:00,SKU_食_001,食品商品14,食品,退货退款,与描述不符,43.08,已完成
RF20250722002912,京20250722774401,2025-07-22 14:26:00,SKU_食_008,食品商品10,食品,退货退款,不想要了,51.14,处理中
RF20250722002913,京20250722434965,2025-07-22 11:04:00,SKU_食_005,食品商品18,食品,退货退款,质量问题,47.46,已拒绝
RF20250722002914,京20250722020332,2025-07-22 19:31:00,SKU_电_002,电子商品19,电子,退货退款,尺码不合适,434.72,已完成
RF20250722002915,京20250722207181,2025-07-22 08:51:00,SKU_电_001,电子商品4,电子,仅退款,尺码不合适,331.75,已完成
RF20250722002916,京20250722866591,2025-07-22 11:25:00,SKU_电_007,电子商品19,电子,退货退款,不想要了,423.22,处理中
RF20250722002917,京20250722572638,2025-07-22 09:53:00,SKU_电_009,电子商品4,电子,退货退款,不想要了,405.04,已完成
RF20250722002918,京20250722275778,2025-07-22 08:48:00,SKU_电_002,电子商品7,电子,退货退款,尺码不合适,409.08,已完成
RF20250722002919,京20250722318955,2025-07-22 16:47:00,SKU_电_003,电子商品7,电子,仅退款,质量问题,511.42,处理中
RF20250722002920,京20250722559048,2025-07-22 13:02:00,SKU_电_003,电子商品12,电子,仅退款,物流太慢,442.08,已完成
RF20250722002921,京20250722342904,2025-07-22 08:54:00,SKU_电_007,电子商品9,电子,退货退款,质量问题,439.16,已完成
RF20250722002922,京20250722980911,2025-07-22 10:38:00,SKU_服_003,服装商品11,服装,仅退款,物流太慢,205.18,已完成
RF20250722002923,京20250722873789,2025-07-22 17:02:00,SKU_服_009,服装商品7,服装,退货退款,与描述不符,195.38,已完成
RF20250722002924,京20250722156052,2025-07-22 13:05:00,SKU_服_003,服装商品11,服装,退货退款,与描述不符,203.61,处理中
RF20250722002925,京20250722324147,2025-07-22 14:16:00,SKU_服_009,服装商品3,服装,退货退款,不想要了,167.48,已完成
RF20250722002926,京20250722867024,2025-07-22 20:03:00,SKU_服_007,服装商品2,服装,退货退款,质量问题,253.3,已完成
RF20250723003038,京20250723722180,2025-07-23 16:05:00,SKU_美_009,美妆商品11,美妆,仅退款,与描述不符,114.43,已完成
RF20250723003039,京20250723648976,2025-07-23 21:01:00,SKU_美_003,美妆商品7,美妆,退货退款,不想要了,130.5,已完成
RF20250723003040,京20250723335723,2025-07-23 14:38:00,SKU_美_001,美妆商品3,美妆,仅退款,与描述不符,155.77,已完成
RF20250723003041,京20250723337666,2025-07-23 12:36:00,SKU_美_007,美妆商品4,美妆,仅退款,不想要了,134.09,已完成
RF20250723003042,京20250723296854,2025-07-23 16:32:00,SKU_美_002,美妆商品13,美妆,退货退款,质量问题,145.38,已完成
RF20250723003043,京20250723876015,2025-07-23 17:58:00,SKU_美_001,美妆商品17,美妆,退货退款,物流太慢,124.19,已拒绝
